Student_id,Request_time,Start_time,Duration_hours,Number_of_people,Board,Screen,Handled_Librarian,Assigned_room,Status
334338522,2024-10-01 00:05:11,2024-11-02 09:00:00,1.0,2,N,N,228565115,3,approved
288431497,2024-10-01 00:07:15,2024-11-13 17:00:00,3.0,2,Y,Y,362936221,2,approved
223226358,2024-10-01 00:13:45,2024-11-01 08:00:00,2.0,2,Y,N,256129297,5,approved
313566358,2024-10-01 00:18:15,2024-11-13 21:00:00,1,1,N,Y,283230282,1,approved
213774409,2024-10-01 00:21:01,2024-11-26 20:00:00,1.0,1,N,N,308370048,3,approved
223614165,2024-10-01 00:27:42,2024-11-03 18:00:00,1.5,2,N,Y,274503903,1,approved
346359763,2024-10-01 00:34:34,2024-11-05 08:00:00,3.0,2,N,Y,339630600,1,approved
374643898,2024-10-01 00:36:01,2024-11-05 09:00:00,3.5,2,Y,N,284201662,5,approved
322599747,2024-10-01 00:37:40,2024-11-10 17:00:00,3.5,1,N,Y,259928216,1,approved
212566509,2024-10-01 00:37:46,2024-11-24 19:00:00,3,1,N,N,219037645,3,approved
354112872,2024-10-01 00:40:04,2024-11-01 17:00:00,1.5,1,Y,N,256129297,5,approved
284443363,2024-10-01 00:40:50,2024-11-22 07:00:00,4.0,2,Y,Y,243247319,2,approved
281047993,2024-10-01 00:48:42,2024-11-27 12:00:00,1.0,2,N,Y,202213385,1,approved
368191102,2024-10-01 00:51:48,2024-11-10 13:00:00,2.5,2,Y,Y,259928216,2,approved
345926125,2024-10-01 00:55:28,2024-11-11 13:00:00,3.0,2,N,N,266085976,3,approved
250445574,2024-10-01 00:57:29,2024-11-30 14:00:00,1.0,2,N,Y,286218151,1,approved
224449975,2024-10-01 00:57:59,2024-11-06 08:00:00,4.0,1,Y,N,255595993,5,approved
228022141,2024-10-01 01:00:21,2024-11-30 20:00:00,2,2,Y,N,380845883,5,approved
255448870,2024-10-01 01:05:21,2024-11-01 08:00:00,4.0,2,Y,N,282034214,15,approved
353121106,2024-10-01 01:07:23,2024-11-17 17:00:00,2.0,1,N,Y,326423001,1,approved
308980861,2024-10-01 01:07:43,2024-11-06 08:00:00,4.0,1,N,N,255595993,3,approved
220409064,2024-10-01 01:09:29,2024-11-10 21:00:00,1,2,Y,N,259928216,5,approved
272366063,2024-10-01 01:11:14,2024-11-02 19:00:00,3,1,N,Y,336625082,1,approved
382664647,2024-10-01 01:21:07,2024-11-02 07:00:00,3.0,2,N,N,202510681,6,approved
309210409,2024-10-01 01:21:35,2024-11-25 09:00:00,3.0,1,Y,N,377031109,5,approved
284205606,2024-10-01 01:22:12,2024-11-05 13:00:00,2.5,2,N,Y,374362754,1,approved
377228879,2024-10-01 01:28:25,2024-11-22 18:00:00,2.0,2,Y,N,371954678,5,approved
349053280,2024-10-01 01:30:56,2024-11-18 16:00:00,1.0,1,N,Y,224518241,1,approved
315307207,2024-10-01 01:43:25,2024-11-01 11:00:00,3.5,2,Y,Y,256129297,2,approved
352161137,2024-10-01 01:52:41,2024-11-29 20:00:00,2,2,N,N,322215724,3,approved
278510953,2024-10-01 01:58:39,2024-11-27 08:00:00,1.0,2,N,Y,201154135,1,approved
327894705,2024-10-01 02:05:00,2024-11-11 21:00:00,1,1,Y,Y,266085976,2,approved
339983678,2024-10-01 02:05:23,2024-11-25 07:00:00,2.0,1,Y,N,290649268,5,approved
392435111,2024-10-01 02:07:23,2024-11-08 14:00:00,3.5,1,N,Y,301317277,1,approved
290842350,2024-10-01 02:11:57,2024-11-10 16:00:00,2.0,1,Y,Y,259928216,2,approved
301365680,2024-10-01 02:18:16,2024-11-27 21:00:00,1,2,Y,N,362936221,5,approved
302699467,2024-10-01 02:19:25,2024-11-04 12:00:00,3.0,2,Y,Y,250544251,2,approved
370298325,2024-10-01 02:20:09,2024-11-25 18:00:00,4,1,N,Y,247316201,1,approved
382651941,2024-10-01 02:20:52,2024-11-19 08:00:00,2.0,1,Y,N,256625955,5,approved
299689463,2024-10-01 02:35:25,2024-11-21 09:00:00,1.5,1,Y,N,370173353,5,approved
200118065,2024-10-01 02:36:54,2024-11-14 20:00:00,2,1,N,Y,375013737,1,approved
262552854,2024-10-01 02:43:45,2024-11-22 20:00:00,1.0,2,Y,N,250985413,5,approved
211483896,2024-10-01 02:52:25,2024-11-05 20:00:00,1.5,1,N,Y,374362754,1,approved
218496479,2024-10-01 02:52:47,2024-11-24 14:00:00,3.0,2,Y,N,230250847,5,approved
310261821,2024-10-01 02:54:08,2024-11-09 10:00:00,1.5,1,N,N,265299792,3,approved
349948661,2024-10-01 02:58:38,2024-11-02 11:00:00,1.0,1,N,N,280739152,3,approved
295607766,2024-10-01 03:04:08,2024-11-27 17:00:00,3.5,1,Y,Y,335700035,2,approved
350327532,2024-10-01 03:07:20,2024-11-07 07:00:00,3.5,1,N,Y,257019273,1,approved
307959056,2024-10-01 03:18:30,2024-11-22 10:00:00,1.5,2,Y,N,371954678,5,approved
335056974,2024-10-01 03:20:42,2024-11-02 13:00:00,3.0,2,N,Y,308370048,1,approved
385637335,2024-10-01 03:28:29,2024-11-20 16:00:00,4.0,2,N,Y,275973766,1,approved
358341949,2024-10-01 03:31:46,2024-11-18 09:00:00,3.5,2,Y,N,301317277,5,approved
231950411,2024-10-01 03:42:38,2024-11-15 08:00:00,3.5,1,Y,N,238756902,5,approved
305322935,2024-10-01 03:47:06,2024-11-10 07:00:00,4.0,2,N,N,296230212,3,approved
354399925,2024-10-01 03:49:04,2024-11-26 17:00:00,3.5,2,Y,N,272134974,5,approved
349397794,2024-10-01 03:50:16,2024-11-05 11:00:00,2.0,2,Y,Y,277864716,2,approved
248043507,2024-10-01 03:53:35,2024-11-21 14:00:00,4.0,2,N,N,327972550,3,approved
306139395,2024-10-01 03:58:38,2024-11-01 17:00:00,4.0,2,Y,N,256129297,15,approved
390388825,2024-10-01 04:04:49,2024-11-22 21:00:00,1,2,N,N,306829821,3,approved
207027681,2024-10-01 04:05:29,2024-11-17 12:00:00,3.0,1,N,Y,338387525,1,approved
293831079,2024-10-01 04:08:55,2024-11-09 17:00:00,1.0,1,Y,Y,332284330,2,approved
219484649,2024-10-01 04:17:06,2024-11-03 07:00:00,3.5,2,Y,Y,319475554,2,approved
337285738,2024-10-01 04:19:08,2024-11-26 20:00:00,1.5,2,Y,N,204469027,15,approved
246942197,2024-10-01 04:23:08,2024-11-08 16:00:00,3.5,2,Y,Y,211343306,2,approved
314372202,2024-10-01 04:27:34,2024-11-17 10:00:00,2.0,1,N,N,394294102,3,approved
315307207,2024-10-01 04:27:56,2024-11-05 11:00:00,1.5,2,N,N,316346196,3,approved
205091853,2024-10-01 04:31:10,2024-11-01 07:00:00,1.5,1,N,Y,282034214,1,approved
228555132,2024-10-01 04:34:49,2024-11-26 16:00:00,3.5,2,Y,Y,314782657,2,approved
273930685,2024-10-01 04:37:05,2024-11-01 12:00:00,4.0,2,Y,N,375013737,5,approved
285231833,2024-10-01 04:40:05,2024-11-25 10:00:00,3.5,2,Y,N,377031109,15,approved
228056743,2024-10-01 04:41:20,2024-11-29 14:00:00,4.0,2,N,Y,253940100,1,approved
211559455,2024-10-01 04:42:28,2024-11-29 21:00:00,1,2,Y,Y,268722105,2,approved
276058542,2024-10-01 04:49:11,2024-11-04 14:00:00,2.0,1,N,N,321425431,3,approved
347106569,2024-10-01 04:52:05,2024-11-28 15:00:00,4.0,2,N,Y,307732313,1,approved
312124555,2024-10-01 04:55:26,2024-11-08 16:00:00,3.0,2,N,Y,340115104,7,approved
378073514,2024-10-01 04:57:29,2024-11-18 07:00:00,1.0,2,Y,Y,211950654,2,approved
266111780,2024-10-01 05:10:21,2024-11-26 10:00:00,2.0,2,N,N,268722105,3,approved
241793462,2024-10-01 05:21:16,2024-11-04 11:00:00,3.0,1,N,Y,315209668,1,approved
327233482,2024-10-01 05:23:06,2024-11-28 18:00:00,1.5,1,N,N,343236287,3,approved
226096089,2024-10-01 05:23:39,2024-11-03 19:00:00,3,2,N,N,283555837,3,approved
306474271,2024-10-01 05:31:38,2024-11-16 17:00:00,3.0,1,Y,N,263340143,5,approved
231119801,2024-10-01 05:32:31,2024-11-09 21:00:00,1,1,N,Y,352080659,1,approved
274113661,2024-10-01 05:33:26,2024-11-08 08:00:00,4.0,2,Y,N,211343306,5,approved
233603489,2024-10-01 05:36:34,2024-11-28 20:00:00,1.0,1,N,N,315209668,3,approved
315013250,2024-10-01 05:49:16,2024-11-06 12:00:00,1.5,1,Y,Y,263996035,2,approved
310173687,2024-10-01 05:58:15,2024-11-23 19:00:00,2.0,1,Y,Y,372500454,2,approved
314894676,2024-10-01 05:58:24,2024-11-18 14:00:00,1.5,2,Y,Y,398637793,2,approved
252925284,2024-10-01 06:01:23,2024-11-04 07:00:00,2.0,2,Y,N,250544251,5,approved
271247496,2024-10-01 06:08:18,2024-11-04 15:00:00,4.0,1,Y,Y,250544251,2,approved
248458036,2024-10-01 06:13:40,2024-11-21 12:00:00,1.5,2,Y,Y,327972550,2,approved
351702410,2024-10-01 06:14:01,2024-11-15 13:00:00,2.0,2,N,N,358242451,3,approved
398943217,2024-10-01 06:15:42,2024-11-11 12:00:00,2.0,1,N,Y,287850242,1,approved
299546291,2024-10-01 06:17:05,2024-11-16 13:00:00,2.0,1,Y,N,377486550,5,approved
237216437,2024-10-01 06:17:25,2024-11-18 13:00:00,1.0,1,N,N,248942815,3,approved
292340171,2024-10-01 06:18:08,2024-11-20 18:00:00,3.0,1,Y,N,381073709,5,approved
353647969,2024-10-01 06:28:17,2024-11-19 16:00:00,1.0,1,N,Y,238756902,1,approved
291668283,2024-10-01 06:28:19,2024-11-17 15:00:00,2.5,1,N,Y,338387525,7,approved
310042452,2024-10-01 06:29:11,2024-11-11 20:00:00,2,2,Y,N,200885937,5,approved
212899546,2024-10-01 06:32:17,2024-11-23 12:00:00,2.0,1,Y,N,314782657,5,approved
376643516,2024-10-01 06:33:50,2024-11-28 19:00:00,1.5,1,N,N,331803783,6,approved
260252457,2024-10-01 06:35:40,2024-11-17 12:00:00,3.0,2,N,Y,256757899,7,approved
287136345,2024-10-01 06:41:58,2024-11-22 11:00:00,2.0,1,Y,N,327109013,15,approved
311860902,2024-10-01 06:42:11,2024-11-26 18:00:00,2.5,1,N,Y,261844724,1,approved
303288450,2024-10-01 06:47:07,2024-11-18 18:00:00,2.5,1,N,N,253940100,3,approved
205227978,2024-10-01 06:49:18,2024-11-29 21:00:00,1,1,N,Y,206257180,1,approved
277416632,2024-10-01 06:58:53,2024-11-03 10:00:00,3.0,1,Y,N,215243817,5,approved
253850218,2024-10-01 07:03:22,2024-11-30 21:00:00,1,2,Y,N,380845883,15,approved
271235988,2024-10-01 07:03:53,2024-11-06 07:00:00,3.0,2,Y,Y,376632691,2,approved
303075618,2024-10-01 07:07:14,2024-11-29 20:00:00,2,1,Y,Y,294120373,4,approved
309508083,2024-10-01 07:13:31,2024-11-05 12:00:00,1.5,2,N,Y,284201662,7,approved
346257215,2024-10-01 07:14:14,2024-11-27 07:00:00,1.0,1,Y,N,314052127,5,approved
253743553,2024-10-01 07:14:56,2024-11-06 20:00:00,2,2,Y,N,376632691,5,approved
338134992,2024-10-01 07:20:29,2024-11-09 16:00:00,2.5,2,Y,Y,200229912,4,approved
377981063,2024-10-01 07:22:54,2024-11-21 17:00:00,2.0,2,Y,N,327972550,5,approved
338883341,2024-10-01 07:35:17,2024-11-17 19:00:00,3,1,N,N,362936221,3,approved
273930685,2024-10-01 07:41:50,2024-11-15 21:00:00,1,2,N,Y,254629025,1,approved
288224504,2024-10-01 07:53:26,2024-11-28 07:00:00,1.0,2,N,N,228565115,3,approved
261150817,2024-10-01 07:54:17,2024-11-28 16:00:00,3.0,1,N,Y,395868615,7,approved
212258644,2024-10-01 07:55:55,2024-11-15 15:00:00,2.5,2,N,Y,211950654,1,approved
348985482,2024-10-01 07:59:52,2024-11-08 17:00:00,2.5,1,Y,N,343990297,5,approved
331163568,2024-10-01 08:02:41,2024-11-16 07:00:00,3.5,1,N,Y,270296197,1,approved
357402841,2024-10-01 08:04:42,2024-11-13 13:00:00,3.0,2,Y,Y,362936221,2,approved
270026180,2024-10-01 08:09:03,2024-11-10 17:00:00,2.0,2,N,Y,256757899,7,approved
