Book_id,Status,Number_of_copies
1000,available,4
1000,borrowed,1
1000,lost,6
1000,damaged,3
1001,available,0
1001,borrowed,1
1001,lost,0
1001,damaged,1
1002,available,0
1002,borrowed,0
1002,lost,0
1002,damaged,0
1003,available,1
1003,borrowed,3
1003,lost,5
1003,damaged,5
1004,available,3
1004,borrowed,6
1004,lost,1
1004,damaged,3
1005,available,5
1005,borrowed,1
1005,lost,3
1005,damaged,4
1006,available,0
1006,borrowed,3
1006,lost,4
1006,damaged,2
1007,available,0
1007,borrowed,4
1007,lost,0
1007,damaged,2
1008,available,1
1008,borrowed,2
1008,lost,3
1008,damaged,1
1009,available,5
1009,borrowed,0
1009,lost,6
1009,damaged,2
1010,available,3
1010,borrowed,0
1010,lost,0
1010,damaged,4
1011,available,0
1011,borrowed,2
1011,lost,0
1011,damaged,3
1012,available,6
1012,borrowed,0
1012,lost,3
1012,damaged,6
1013,available,4
1013,borrowed,2
1013,lost,0
1013,damaged,3
1014,available,6
1014,borrowed,4
1014,lost,6
1014,damaged,6
1015,available,1
1015,borrowed,3
1015,lost,5
1015,damaged,2
1016,available,3
1016,borrowed,0
1016,lost,0
1016,damaged,6
1017,available,4
1017,borrowed,1
1017,lost,4
1017,damaged,5
1018,available,2
1018,borrowed,6
1018,lost,2
1018,damaged,5
1019,available,3
1019,borrowed,1
1019,lost,6
1019,damaged,0
1020,available,4
1020,borrowed,2
1020,lost,5
1020,damaged,2
1021,available,3
1021,borrowed,0
1021,lost,6
1021,damaged,5
1022,available,4
1022,borrowed,1
1022,lost,0
1022,damaged,2
1023,available,0
1023,borrowed,1
1023,lost,1
1023,damaged,1
1024,available,3
1024,borrowed,0
1024,lost,5
1024,damaged,1
1025,available,3
1025,borrowed,6
1025,lost,0
1025,damaged,0
1026,available,5
1026,borrowed,3
1026,lost,5
1026,damaged,0
1027,available,3
1027,borrowed,0
1027,lost,0
1027,damaged,4
1028,available,5
1028,borrowed,0
1028,lost,0
1028,damaged,5
1029,available,6
1029,borrowed,6
1029,lost,4
1029,damaged,5
1030,available,5
1030,borrowed,3
1030,lost,3
1030,damaged,6
1031,available,1
1031,borrowed,3
1031,lost,1
1031,damaged,4
1032,available,6
1032,borrowed,5
1032,lost,3
1032,damaged,6
1033,available,3
1033,borrowed,2
1033,lost,0
1033,damaged,6
1034,available,3
1034,borrowed,3
1034,lost,3
1034,damaged,3
1035,available,4
1035,borrowed,3
1035,lost,3
1035,damaged,3
1036,available,3
1036,borrowed,4
1036,lost,1
1036,damaged,0
1037,available,1
1037,borrowed,2
1037,lost,6
1037,damaged,3
1038,available,3
1038,borrowed,2
1038,lost,5
1038,damaged,2
1039,available,3
1039,borrowed,1
1039,lost,1
1039,damaged,3
1040,available,0
1040,borrowed,3
1040,lost,2
1040,damaged,5
1041,available,2
1041,borrowed,0
1041,lost,1
1041,damaged,4
1042,available,4
1042,borrowed,2
1042,lost,3
1042,damaged,6
1043,available,0
1043,borrowed,1
1043,lost,6
1043,damaged,2
1044,available,4
1044,borrowed,2
1044,lost,0
1044,damaged,5
1045,available,5
1045,borrowed,6
1045,lost,4
1045,damaged,1
1046,available,4
1046,borrowed,2
1046,lost,3
1046,damaged,1
1047,available,2
1047,borrowed,2
1047,lost,6
1047,damaged,5
1048,available,3
1048,borrowed,3
1048,lost,3
1048,damaged,2
1049,available,1
1049,borrowed,3
1049,lost,4
1049,damaged,4
1050,available,3
1050,borrowed,1
1050,lost,4
1050,damaged,2
1051,available,2
1051,borrowed,0
1051,lost,4
1051,damaged,1
1052,available,5
1052,borrowed,6
1052,lost,1
1052,damaged,4
1053,available,2
1053,borrowed,0
1053,lost,5
1053,damaged,0
1054,available,3
1054,borrowed,6
1054,lost,2
1054,damaged,2
1055,available,5
1055,borrowed,0
1055,lost,1
1055,damaged,6
1056,available,0
1056,borrowed,2
1056,lost,1
1056,damaged,1
1057,available,1
1057,borrowed,6
1057,lost,6
1057,damaged,1
1058,available,6
1058,borrowed,4
1058,lost,5
1058,damaged,0
1059,available,1
1059,borrowed,2
1059,lost,1
1059,damaged,1
1060,available,4
1060,borrowed,1
1060,lost,5
1060,damaged,3
1061,available,1
1061,borrowed,4
1061,lost,4
1061,damaged,0
1062,available,1
1062,borrowed,4
1062,lost,0
1062,damaged,0
1063,available,4
1063,borrowed,6
1063,lost,0
1063,damaged,2
1064,available,6
1064,borrowed,1
1064,lost,6
1064,damaged,2
1065,available,3
1065,borrowed,4
1065,lost,5
1065,damaged,3
1066,available,4
1066,borrowed,3
1066,lost,6
1066,damaged,4
1067,available,6
1067,borrowed,0
1067,lost,1
1067,damaged,5
1068,available,0
1068,borrowed,1
1068,lost,4
1068,damaged,3
1069,available,2
1069,borrowed,0
1069,lost,3
1069,damaged,3
1070,available,0
1070,borrowed,4
1070,lost,6
1070,damaged,6
1071,available,2
1071,borrowed,4
1071,lost,2
1071,damaged,4
1072,available,6
1072,borrowed,4
1072,lost,2
1072,damaged,5
1073,available,1
1073,borrowed,1
1073,lost,6
1073,damaged,0
1074,available,2
1074,borrowed,6
1074,lost,6
1074,damaged,1
1075,available,6
1075,borrowed,0
1075,lost,6
1075,damaged,2
1076,available,2
1076,borrowed,4
1076,lost,0
1076,damaged,0
1077,available,2
1077,borrowed,6
1077,lost,5
1077,damaged,5
1078,available,1
1078,borrowed,2
1078,lost,1
1078,damaged,3
1079,available,5
1079,borrowed,5
1079,lost,3
1079,damaged,6
1080,available,2
1080,borrowed,3
1080,lost,5
1080,damaged,4
1081,available,0
1081,borrowed,2
1081,lost,6
1081,damaged,1
1082,available,2
1082,borrowed,2
1082,lost,5
1082,damaged,5
1083,available,1
1083,borrowed,2
1083,lost,6
1083,damaged,6
1084,available,3
1084,borrowed,5
1084,lost,6
1084,damaged,4
1085,available,1
1085,borrowed,3
1085,lost,4
1085,damaged,0
1086,available,6
1086,borrowed,1
1086,lost,4
1086,damaged,5
1087,available,5
1087,borrowed,5
1087,lost,0
1087,damaged,5
1088,available,3
1088,borrowed,3
1088,lost,0
1088,damaged,6
1089,available,1
1089,borrowed,5
1089,lost,4
1089,damaged,6
1090,available,6
1090,borrowed,2
1090,lost,1
1090,damaged,0
1091,available,0
1091,borrowed,0
1091,lost,1
1091,damaged,2
1092,available,3
1092,borrowed,2
1092,lost,6
1092,damaged,2
1093,available,6
1093,borrowed,5
1093,lost,0
1093,damaged,4
1094,available,2
1094,borrowed,3
1094,lost,3
1094,damaged,1
1095,available,1
1095,borrowed,5
1095,lost,1
1095,damaged,0
1096,available,0
1096,borrowed,3
1096,lost,6
1096,damaged,1
1097,available,1
1097,borrowed,5
1097,lost,1
1097,damaged,3
1098,available,2
1098,borrowed,5
1098,lost,2
1098,damaged,5
1099,available,0
1099,borrowed,0
1099,lost,5
1099,damaged,4
1100,available,4
1100,borrowed,2
1100,lost,0
1100,damaged,0
1101,available,4
1101,borrowed,4
1101,lost,1
1101,damaged,6
1102,available,1
1102,borrowed,0
1102,lost,2
1102,damaged,5
1103,available,4
1103,borrowed,3
1103,lost,2
1103,damaged,0
1104,available,4
1104,borrowed,4
1104,lost,1
1104,damaged,4
1105,available,0
1105,borrowed,5
1105,lost,5
1105,damaged,4
1106,available,5
1106,borrowed,6
1106,lost,3
1106,damaged,6
1107,available,5
1107,borrowed,5
1107,lost,0
1107,damaged,1
1108,available,3
1108,borrowed,2
1108,lost,1
1108,damaged,6
1109,available,0
1109,borrowed,3
1109,lost,6
1109,damaged,0
1110,available,5
1110,borrowed,5
1110,lost,5
1110,damaged,6
1111,available,2
1111,borrowed,0
1111,lost,1
1111,damaged,1
1112,available,3
1112,borrowed,3
1112,lost,1
1112,damaged,1
1113,available,0
1113,borrowed,3
1113,lost,1
1113,damaged,4
1114,available,0
1114,borrowed,5
1114,lost,2
1114,damaged,2
1115,available,4
1115,borrowed,2
1115,lost,1
1115,damaged,3
1116,available,5
1116,borrowed,3
1116,lost,5
1116,damaged,6
1117,available,2
1117,borrowed,3
1117,lost,1
1117,damaged,0
1118,available,5
1118,borrowed,5
1118,lost,6
1118,damaged,5
1119,available,0
1119,borrowed,2
1119,lost,0
1119,damaged,5
1120,available,1
1120,borrowed,3
1120,lost,1
1120,damaged,5
1121,available,2
1121,borrowed,5
1121,lost,1
1121,damaged,2
1122,available,5
1122,borrowed,5
1122,lost,3
1122,damaged,6
1123,available,0
1123,borrowed,4
1123,lost,4
1123,damaged,0
1124,available,6
1124,borrowed,3
1124,lost,4
1124,damaged,1
1125,available,3
1125,borrowed,0
1125,lost,3
1125,damaged,1
1126,available,4
1126,borrowed,4
1126,lost,2
1126,damaged,5
1127,available,1
1127,borrowed,4
1127,lost,2
1127,damaged,3
1128,available,0
1128,borrowed,1
1128,lost,0
1128,damaged,1
1129,available,1
1129,borrowed,2
1129,lost,4
1129,damaged,5
1130,available,6
1130,borrowed,1
1130,lost,6
1130,damaged,6
1131,available,5
1131,borrowed,3
1131,lost,2
1131,damaged,3
1132,available,2
1132,borrowed,5
1132,lost,0
1132,damaged,3
1133,available,1
1133,borrowed,0
1133,lost,2
1133,damaged,1
1134,available,0
1134,borrowed,6
1134,lost,2
1134,damaged,1
1135,available,1
1135,borrowed,2
1135,lost,1
1135,damaged,3
1136,available,3
1136,borrowed,5
1136,lost,6
1136,damaged,4
1137,available,4
1137,borrowed,5
1137,lost,6
1137,damaged,0
1138,available,1
1138,borrowed,1
1138,lost,0
1138,damaged,1
1139,available,0
1139,borrowed,6
1139,lost,1
1139,damaged,2
1140,available,1
1140,borrowed,1
1140,lost,5
1140,damaged,1
1141,available,4
1141,borrowed,2
1141,lost,4
1141,damaged,5
1142,available,1
1142,borrowed,6
1142,lost,6
1142,damaged,2
1143,available,6
1143,borrowed,3
1143,lost,2
1143,damaged,0
1144,available,2
1144,borrowed,5
1144,lost,2
1144,damaged,0
1145,available,5
1145,borrowed,4
1145,lost,2
1145,damaged,2
1146,available,2
1146,borrowed,4
1146,lost,5
1146,damaged,1
1147,available,2
1147,borrowed,3
1147,lost,0
1147,damaged,4
1148,available,3
1148,borrowed,4
1148,lost,5
1148,damaged,0
1149,available,0
1149,borrowed,2
1149,lost,2
1149,damaged,5
1150,available,3
1150,borrowed,3
1150,lost,0
1150,damaged,2
1151,available,6
1151,borrowed,0
1151,lost,3
1151,damaged,1
1152,available,3
1152,borrowed,2
1152,lost,5
1152,damaged,0
1153,available,4
1153,borrowed,6
1153,lost,0
1153,damaged,1
1154,available,1
1154,borrowed,3
1154,lost,1
1154,damaged,3
1155,available,5
1155,borrowed,3
1155,lost,2
1155,damaged,0
1156,available,2
1156,borrowed,5
1156,lost,3
1156,damaged,1
1157,available,1
1157,borrowed,6
1157,lost,4
1157,damaged,6
1158,available,4
1158,borrowed,1
1158,lost,0
1158,damaged,1
1159,available,2
1159,borrowed,1
1159,lost,6
1159,damaged,3
1160,available,1
1160,borrowed,2
1160,lost,5
1160,damaged,3
1161,available,0
1161,borrowed,0
1161,lost,1
1161,damaged,6
1162,available,6
1162,borrowed,5
1162,lost,6
1162,damaged,2
1163,available,1
1163,borrowed,5
1163,lost,0
1163,damaged,2
1164,available,1
1164,borrowed,4
1164,lost,1
1164,damaged,2
1165,available,3
1165,borrowed,2
1165,lost,1
1165,damaged,4
1166,available,5
1166,borrowed,5
1166,lost,1
1166,damaged,0
1167,available,3
1167,borrowed,1
1167,lost,0
1167,damaged,0
1168,available,5
1168,borrowed,4
1168,lost,3
1168,damaged,5
1169,available,1
1169,borrowed,2
1169,lost,1
1169,damaged,0
1170,available,4
1170,borrowed,1
1170,lost,3
1170,damaged,5
1171,available,0
1171,borrowed,0
1171,lost,6
1171,damaged,2
1172,available,6
1172,borrowed,1
1172,lost,3
1172,damaged,5
1173,available,5
1173,borrowed,1
1173,lost,1
1173,damaged,1
1174,available,6
1174,borrowed,5
1174,lost,5
1174,damaged,3
1175,available,1
1175,borrowed,3
1175,lost,5
1175,damaged,5
1176,available,0
1176,borrowed,4
1176,lost,6
1176,damaged,1
1177,available,3
1177,borrowed,6
1177,lost,1
1177,damaged,1
1178,available,2
1178,borrowed,1
1178,lost,2
1178,damaged,2
1179,available,1
1179,borrowed,3
1179,lost,4
1179,damaged,5
1180,available,1
1180,borrowed,5
1180,lost,6
1180,damaged,4
1181,available,6
1181,borrowed,4
1181,lost,1
1181,damaged,1
1182,available,0
1182,borrowed,6
1182,lost,5
1182,damaged,5
1183,available,3
1183,borrowed,3
1183,lost,1
1183,damaged,5
1184,available,6
1184,borrowed,1
1184,lost,6
1184,damaged,2
1185,available,4
1185,borrowed,3
1185,lost,3
1185,damaged,5
1186,available,3
1186,borrowed,4
1186,lost,4
1186,damaged,0
1187,available,5
1187,borrowed,6
1187,lost,5
1187,damaged,4
1188,available,3
1188,borrowed,0
1188,lost,5
1188,damaged,3
1189,available,6
1189,borrowed,1
1189,lost,4
1189,damaged,5
1190,available,3
1190,borrowed,6
1190,lost,0
1190,damaged,3
1191,available,2
1191,borrowed,5
1191,lost,5
1191,damaged,0
1192,available,5
1192,borrowed,1
1192,lost,0
1192,damaged,2
1193,available,2
1193,borrowed,5
1193,lost,4
1193,damaged,3
1194,available,6
1194,borrowed,3
1194,lost,6
1194,damaged,5
1195,available,6
1195,borrowed,0
1195,lost,5
1195,damaged,2
1196,available,6
1196,borrowed,3
1196,lost,4
1196,damaged,1
1197,available,1
1197,borrowed,5
1197,lost,2
1197,damaged,1
1198,available,0
1198,borrowed,1
1198,lost,2
1198,damaged,0
1199,available,0
1199,borrowed,2
1199,lost,2
1199,damaged,4
1200,available,5
1200,borrowed,1
1200,lost,0
1200,damaged,1
1201,available,3
1201,borrowed,6
1201,lost,6
1201,damaged,3
1202,available,5
1202,borrowed,2
1202,lost,4
1202,damaged,4
1203,available,0
1203,borrowed,0
1203,lost,1
1203,damaged,4
1204,available,2
1204,borrowed,3
1204,lost,2
1204,damaged,0
1205,available,0
1205,borrowed,2
1205,lost,1
1205,damaged,1
1206,available,0
1206,borrowed,1
1206,lost,0
1206,damaged,2
1207,available,0
1207,borrowed,1
1207,lost,6
1207,damaged,4
1208,available,2
1208,borrowed,0
1208,lost,4
1208,damaged,5
1209,available,4
1209,borrowed,6
1209,lost,0
1209,damaged,0
1210,available,1
1210,borrowed,3
1210,lost,6
1210,damaged,0
1211,available,1
1211,borrowed,4
1211,lost,2
1211,damaged,0
1212,available,6
1212,borrowed,0
1212,lost,0
1212,damaged,6
1213,available,4
1213,borrowed,1
1213,lost,6
1213,damaged,6
1214,available,0
1214,borrowed,5
1214,lost,6
1214,damaged,4
1215,available,5
1215,borrowed,1
1215,lost,6
1215,damaged,4
