Book_id,Book_name,Publication_date,Category_id,Author_id,Language,Book_description
1000,Runaway,07-07-1973,8,3000,Tajik,"Published on 07-07-1973, ""Runaway"" is a captivating work written in Tajik. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1001,"Manzanar Fishing Club, The",02-07-1959,10,3001,Croatian,"Published on 02-07-1959, ""Manzanar Fishing Club, The"" is a captivating work written in Croatian. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1002,Borderline,08-09-1961,22,3002,Assamese,"Published on 08-09-1961, ""Borderline"" is a captivating work written in Assamese. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1003,"Best of Ernie and Bert, The",21-04-1989,44,3003,Filipino,"Published on 21-04-1989, ""Best of Ernie and Bert, The"" is a captivating work written in Filipino. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1004,Mad Love,28-09-1980,20,3004,Tamil,"Published on 28-09-1980, ""Mad Love"" is a captivating work written in Tamil. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1005,Blue Car,31-08-1955,3,3005,Burmese,"Published on 31-08-1955, ""Blue Car"" is a captivating work written in Burmese. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1006,Rudo y Cursi (Rough and Vulgar),08-07-1957,38,3006,Norwegian,"Published on 08-07-1957, ""Rudo y Cursi (Rough and Vulgar)"" is a captivating work written in Norwegian. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1007,In the Navy,12-09-1953,50,3007,Zulu,"Published on 12-09-1953, ""In the Navy"" is a captivating work written in Zulu. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1008,All Together,16-01-1994,47,3008,Moldovan,"Published on 16-01-1994, ""All Together"" is a captivating work written in Moldovan. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1009,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom)",21-03-1992,7,3009,Czech,"Published on 21-03-1992, ""Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom)"" is a captivating work written in Czech. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1010,Raiders of the Lost Ark: The Adaptation,13-12-1965,32,3010,Greek,"Published on 13-12-1965, ""Raiders of the Lost Ark: The Adaptation"" is a captivating work written in Greek. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1011,"Whom the Gods Wish to Destroy (Nibelungen, Teil 1: Siegfried, Die)",18-08-1956,42,3011,Tswana,"Published on 18-08-1956, ""Whom the Gods Wish to Destroy (Nibelungen, Teil 1: Siegfried, Die)"" is a captivating work written in Tswana. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1012,Om Jai Jagadish,03-09-1965,12,3012,Dzongkha,"Published on 03-09-1965, ""Om Jai Jagadish"" is a captivating work written in Dzongkha. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1013,Wordplay,24-10-1986,32,3013,Polish,"Published on 24-10-1986, ""Wordplay"" is a captivating work written in Polish. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1014,Maid in Sweden,31-08-2008,19,3014,Lithuanian,"Published on 31-08-2008, ""Maid in Sweden"" is a captivating work written in Lithuanian. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1015,Trinity: Gambling for High Stakes (Odds and Evens) (Pari e dispari),14-01-2006,6,3015,Dzongkha,"Published on 14-01-2006, ""Trinity: Gambling for High Stakes (Odds and Evens) (Pari e dispari)"" is a captivating work written in Dzongkha. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1016,Charlie Chan in Panama,10-04-2000,50,3016,West Frisian,"Published on 10-04-2000, ""Charlie Chan in Panama"" is a captivating work written in West Frisian. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1017,Demoted,15-06-1983,9,3017,Catalan,"Published on 15-06-1983, ""Demoted"" is a captivating work written in Catalan. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1018,Photos in the City of Sylvia (Unas fotos en la ciudad de Sylvia),18-03-1953,11,3018,Yiddish,"Published on 18-03-1953, ""Photos in the City of Sylvia (Unas fotos en la ciudad de Sylvia)"" is a captivating work written in Yiddish. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1019,Zabriskie Point,18-11-1962,48,3019,Italian,"Published on 18-11-1962, ""Zabriskie Point"" is a captivating work written in Italian. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1020,Pokémon the Movie: White - Victini and Zekrom,15-07-1988,28,3020,Bulgarian,"Published on 15-07-1988, ""Pokémon the Movie: White - Victini and Zekrom"" is a captivating work written in Bulgarian. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1021,Grave Secrets (Silent Screams),28-10-1971,32,3021,Malay,"Published on 28-10-1971, ""Grave Secrets (Silent Screams)"" is a captivating work written in Malay. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1022,Puckoon,18-02-1959,6,3022,Armenian,"Published on 18-02-1959, ""Puckoon"" is a captivating work written in Armenian. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1023,"Going Places (Valseuses, Les)",04-12-1964,1,3023,Yiddish,"Published on 04-12-1964, ""Going Places (Valseuses, Les)"" is a captivating work written in Yiddish. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1024,50 Children: The Rescue Mission of Mr. And Mrs. Kraus,24-06-1973,12,3024,Tsonga,"Published on 24-06-1973, ""50 Children: The Rescue Mission of Mr. And Mrs. Kraus"" is a captivating work written in Tsonga. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1025,Forgotten Silver,13-10-1970,28,3025,Macedonian,"Published on 13-10-1970, ""Forgotten Silver"" is a captivating work written in Macedonian. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1026,La Belle Verte,22-05-1993,31,3026,Tajik,"Published on 22-05-1993, ""La Belle Verte"" is a captivating work written in Tajik. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1027,Killer Condom (Kondom des Grauens),06-05-1953,36,3027,Telugu,"Published on 06-05-1953, ""Killer Condom (Kondom des Grauens)"" is a captivating work written in Telugu. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1028,Thunderpants,28-10-1989,28,3028,Luxembourgish,"Published on 28-10-1989, ""Thunderpants"" is a captivating work written in Luxembourgish. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1029,Wallace & Gromit in The Curse of the Were-Rabbit,27-02-1985,38,3029,Indonesian,"Published on 27-02-1985, ""Wallace & Gromit in The Curse of the Were-Rabbit"" is a captivating work written in Indonesian. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1030,Point Blank,04-06-1986,19,3030,Finnish,"Published on 04-06-1986, ""Point Blank"" is a captivating work written in Finnish. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1031,Doghouse,15-12-1989,9,3031,Portuguese,"Published on 15-12-1989, ""Doghouse"" is a captivating work written in Portuguese. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1032,Kings of the Sun,01-05-1966,30,3032,Tetum,"Published on 01-05-1966, ""Kings of the Sun"" is a captivating work written in Tetum. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
1033,Vinyl,20-01-2009,20,3033,Bislama,"Published on 20-01-2009, ""Vinyl"" is a captivating work written in Bislama. This book stands out for its engaging narrative and thoughtful insights, making it a valuable addition to any reader's collection."
