Room_number,Library_floor,Library_section,Room_capacity,Board,Screen
1,2,G,8,Y,Y
2,2,H,3,Y,Y
3,1,S,10,Y,Y
4,1,H,6,Y,N
5,2,H,8,Y,N
6,1,I,6,Y,Y
7,1,C,5,Y,Y
8,1,R,7,Y,Y
9,1,L,3,Y,Y
10,2,J,2,Y,Y
11,2,G,2,Y,Y
12,2,Q,6,Y,Y
13,1,R,10,Y,Y
14,2,O,2,Y,N
15,1,H,5,Y,Y
16,2,B,10,Y,Y
17,1,I,3,Y,Y
18,2,B,7,Y,N
19,2,C,1,Y,Y
20,2,L,6,Y,N
21,2,B,2,Y,N
22,1,L,4,Y,N
23,2,M,2,Y,N
24,1,K,8,Y,Y
25,2,M,3,Y,N
26,1,I,9,Y,N
27,1,H,7,Y,N
28,1,B,4,Y,Y
29,2,J,4,Y,Y
30,2,A,10,Y,N
31,2,P,9,Y,Y
32,2,D,1,Y,N
33,1,J,5,Y,Y
34,1,H,9,Y,N
35,2,R,3,Y,Y
36,1,F,2,Y,Y
37,1,R,1,Y,Y
38,2,J,6,Y,Y
39,1,B,1,Y,Y
40,1,T,1,Y,Y
41,1,L,3,Y,Y
42,1,L,9,Y,N
43,1,A,4,Y,N
44,1,O,10,Y,N
45,2,T,6,Y,N
46,1,R,10,Y,N
47,2,K,6,Y,Y
48,1,C,3,Y,Y
49,1,N,3,Y,N
50,1,O,5,Y,Y
